step-1	take	takes	take		off				を	脱（ぬ）	ぐ
	have	has	have	been able to	take off			（ずっと）	を	脱（ぬ）	ぐ	ことができている
	have	has	have	not been able to	take off		yet	まだ	を	脱（ぬ）	ぐ	ことはできていない
	had	had	had	been able to	take off		till then	それまでずっと	を	脱（ぬ）	ぐ	ことができていた
	had	had	had	not been able to	take off		till then	それまでずっと	を	脱（ぬ）	ぐ	ことはできていなかった
step-5	may have	may have	may have		taken off				を	脱（ぬ）	い	だかもしれない
	may not have	may not have	may not have		taken off				を	脱（ぬ）	が	なかったかもしれない
	may have	may have	may have	been able to	take off				を	脱（ぬ）	ぐ	ことができたかもしれない
	may not have	may not have	may not have	been able to	take off				を	脱（ぬ）	ぐ	ことはできなかったかもしれない
	must have	must have	must have		taken off				を	脱（ぬ）	い	だにちがいない
	must not have	must not have	must not have		taken off				を	脱（ぬ）	が	なかったにちがいない
	must have	must have	must have	been able to	take off				を	脱（ぬ）	ぐ	ことができたにちがいない
	must not have	must not have	must not have	been able to	take off				を	脱（ぬ）	ぐ	ことはできなかったにちがいない
	should have	should have	should have		taken off				を	脱（ぬ）	ぐ	ほうがよかった
	should not have	should not have	should not have		taken off				を	脱（ぬ）	が	ないほうがよかった
	should have	should have	should have	been able to	take off				を	脱（ぬ）	ぐ	ことができるほうがよかった
	should not have	should not have	should not have	been able to	take off				を	脱（ぬ）	ぐ	ことはできないほうがよかった
	can not have	can not have	can not have		taken off				を	脱（ぬ）	い	だはずがない
step-6	would	would	would		take off				を	脱（ぬ）	い	だだろう
	would	would	would	not	take off				を	脱（ぬ）	が	なかっただろう
	would	would	would	be able to	take off				を	脱（ぬ）	ぐ	ことができただろう
	would	would	would	not be able to	take off				を	脱（ぬ）	ぐ	ことはできなかっただろう
	would have	would have	would have		taken off				を	脱（ぬ）	い	だことだろう
	would not have	would not have	would not have		taken off				を	脱（ぬ）	が	なかったことだろう
	would have	would have	would have	been able to	take off				を	脱（ぬ）	ぐ	ことができたことだろう
	would not have	would not have	would not have	been able to	take off				を	脱（ぬ）	ぐ	ことはできなかったことだろう
	could have	could have	could have		taken off				を	脱（ぬ）	い	だ可能性がある
	could not have	could not have	could not have		taken off				を	脱（ぬ）	い	だ可能性はない
	might have	might have	might have		taken off				を	脱（ぬ）	い	だかもしれなかった
	might not have	might not have	might not have		taken off				を	脱（ぬ）	が	なかったかもしれなかった
	might have	might have	might have	been able to	take off				を	脱（ぬ）	ぐ	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	take off				を	脱（ぬ）	ぐ	ことはできなかったかもしれなかった
