step-1	realize	realizes	realize						に	気（き）づ	く
	had better	had better	had better	not	realize				に	気（き）づ	く	べきではない
	must	must	must		realize				に	気（き）づ	く	にちがいない
	must	must	must	not	realize				に	気（き）づ	い	てはいけない
	must	must	must	be	realizing				に	気（き）づ	い	ているにちがいない
	must	must	must	not be	realizing				に	気（き）づ	い	ていてはいけない
	must	must	must	be able to	realize				に	気（き）づ	く	ことができるにちがいない
	must	must	must	not be able to	realize				に	気（き）づ	く	ことはできてはいけない
	will	will	will	have to	realize				に	気（き）づ	か	なければいけないだろう
	will	will	will	not have to	realize				に	気（き）づ	か	なくてもいいだろう
	will	will	will	have to be	realizing				に	気（き）づ	い	ていなければいけないだろう
	will	will	will	not have to be	realizing				に	気（き）づ	い	ていなくてもいいだろう
	will	will	will	have to be able to	realize				に	気（き）づ	く	ことができなければいけないだろう
	will	will	will	not have to be able to	realize				に	気（き）づ	く	ことはできなくてもいいだろう
	may	may	may	have to	realize				に	気（き）づ	か	なければいけないかもしれない
	may	may	may	not have to	realize				に	気（き）づ	か	なくてもいいかもしれない
	may	may	may	have to be	realizing				に	気（き）づ	い	ていなければいけないかもしれない
	may	may	may	not have to be	realizing				に	気（き）づ	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	realize				に	気（き）づ	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	realize				に	気（き）づ	く	ことはできなくてもいいかもしれない
step-4	have	has	have		realized				に	気（き）づ	い	たことがある
	have	has	have	not	realized				に	気（き）づ	い	たことはない
	have	has	have	been	realizing			（ずっと）	に	気（き）づ	い	ている
	have	has	have	not been	realizing			（ずっと）	に	気（き）づ	い	ていない
	have	has	have		realized		already	すでに	に	気（き）づ	い	ている
	have	has	have	not	realized		yet	まだ	に	気（き）づ	い	ていない
	had	had	had		realized		before that	それ以前（いぜん）	に	気（き）づ	い	たことがあった
	had	had	had	not	realized		before that	それ以前（いぜん）	に	気（き）づ	い	たことはなかった
	had	had	had	been	realizing		till then	それまでずっと	に	気（き）づ	い	ていた
	had	had	had	not been	realizing		till then	それまでずっと	に	気（き）づ	い	ていなかった
	had	had	had		realized		already	すでに	に	気（き）づ	い	ていた
	had	had	had	not	realized		yet	まだ	に	気（き）づ	い	ていなかった
	have	has	have	been able to	realize			（ずっと）	に	気（き）づ	く	ことができている
	have	has	have	not been able to	realize		yet	まだ	に	気（き）づ	く	ことはできていない
	had	had	had	been able to	realize		till then	それまでずっと	に	気（き）づ	く	ことができていた
	had	had	had	not been able to	realize		till then	それまでずっと	に	気（き）づ	く	ことはできていなかった
step-5	may have	may have	may have		realized				に	気（き）づ	い	たかもしれない
	may not have	may not have	may not have		realized				に	気（き）づ	か	なかったかもしれない
	may have	may have	may have	been able to	realize				に	気（き）づ	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	realize				に	気（き）づ	く	ことはできなかったかもしれない
	must have	must have	must have		realized				に	気（き）づ	い	たにちがいない
	must not have	must not have	must not have		realized				に	気（き）づ	か	なかったにちがいない
	must have	must have	must have	been able to	realize				に	気（き）づ	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	realize				に	気（き）づ	く	ことはできなかったにちがいない
	should have	should have	should have		realized				に	気（き）づ	く	ほうがよかった
	should not have	should not have	should not have		realized				に	気（き）づ	か	ないほうがよかった
	should have	should have	should have	been able to	realize				に	気（き）づ	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	realize				に	気（き）づ	く	ことはできないほうがよかった
	can not have	can not have	can not have		realized				に	気（き）づ	い	たはずがない
step-6	would	would	would		realize				に	気（き）づ	い	ただろう
	would	would	would	not	realize				に	気（き）づ	か	なかっただろう
	would	would	would	be able to	realize				に	気（き）づ	く	ことができただろう
	would	would	would	not be able to	realize				に	気（き）づ	く	ことはできなかっただろう
	would have	would have	would have		realized				に	気（き）づ	い	たことだろう
	would not have	would not have	would not have		realized				に	気（き）づ	か	なかったことだろう
	would have	would have	would have	been able to	realize				に	気（き）づ	く	ことができたことだろう
	would not have	would not have	would not have	been able to	realize				に	気（き）づ	く	ことはできなかったことだろう
	could have	could have	could have		realized				に	気（き）づ	い	た可能性がある
	could not have	could not have	could not have		realized				に	気（き）づ	い	た可能性はない
	might have	might have	might have		realized				に	気（き）づ	い	たかもしれなかった
	might not have	might not have	might not have		realized				に	気（き）づ	か	なかったかもしれなかった
	might have	might have	might have	been able to	realize				に	気（き）づ	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	realize				に	気（き）づ	く	ことはできなかったかもしれなかった
