step-1	notice	notices	notice						に	気（き）づ	く
	will	will	will	not have to	notice				に	気（き）づ	か	なくてもいいだろう
	will	will	will	have to be	noticing				に	気（き）づ	い	ていなければいけないだろう
	will	will	will	not have to be	noticing				に	気（き）づ	い	ていなくてもいいだろう
	will	will	will	have to be able to	notice				に	気（き）づ	く	ことができなければいけないだろう
	will	will	will	not have to be able to	notice				に	気（き）づ	く	ことはできなくてもいいだろう
	may	may	may	have to	notice				に	気（き）づ	か	なければいけないかもしれない
	may	may	may	not have to	notice				に	気（き）づ	か	なくてもいいかもしれない
	may	may	may	have to be	noticing				に	気（き）づ	い	ていなければいけないかもしれない
	may	may	may	not have to be	noticing				に	気（き）づ	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	notice				に	気（き）づ	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	notice				に	気（き）づ	く	ことはできなくてもいいかもしれない
step-4	have	has	have		noticed				に	気（き）づ	い	たことがある
	have	has	have	not	noticed				に	気（き）づ	い	たことはない
	have	has	have	been	noticing			（ずっと）	に	気（き）づ	い	ている
	have	has	have	not been	noticing			（ずっと）	に	気（き）づ	い	ていない
	have	has	have		noticed		already	すでに	に	気（き）づ	い	ている
	have	has	have	not	noticed		yet	まだ	に	気（き）づ	い	ていない
	had	had	had		noticed		before that	それ以前（いぜん）	に	気（き）づ	い	たことがあった
	had	had	had	not	noticed		before that	それ以前（いぜん）	に	気（き）づ	い	たことはなかった
	had	had	had	been	noticing		till then	それまでずっと	に	気（き）づ	い	ていた
	had	had	had	not been	noticing		till then	それまでずっと	に	気（き）づ	い	ていなかった
	had	had	had		noticed		already	すでに	に	気（き）づ	い	ていた
	had	had	had	not	noticed		yet	まだ	に	気（き）づ	い	ていなかった
	have	has	have	been able to	notice			（ずっと）	に	気（き）づ	く	ことができている
	have	has	have	not been able to	notice		yet	まだ	に	気（き）づ	く	ことはできていない
	had	had	had	been able to	notice		till then	それまでずっと	に	気（き）づ	く	ことができていた
	had	had	had	not been able to	notice		till then	それまでずっと	に	気（き）づ	く	ことはできていなかった
step-5	may have	may have	may have		noticed				に	気（き）づ	い	たかもしれない
	may not have	may not have	may not have		noticed				に	気（き）づ	か	なかったかもしれない
	may have	may have	may have	been able to	notice				に	気（き）づ	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	notice				に	気（き）づ	く	ことはできなかったかもしれない
	must have	must have	must have		noticed				に	気（き）づ	い	たにちがいない
	must not have	must not have	must not have		noticed				に	気（き）づ	か	なかったにちがいない
	must have	must have	must have	been able to	notice				に	気（き）づ	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	notice				に	気（き）づ	く	ことはできなかったにちがいない
	should have	should have	should have		noticed				に	気（き）づ	く	ほうがよかった
	should not have	should not have	should not have		noticed				に	気（き）づ	か	ないほうがよかった
	should have	should have	should have	been able to	notice				に	気（き）づ	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	notice				に	気（き）づ	く	ことはできないほうがよかった
	can not have	can not have	can not have		noticed				に	気（き）づ	い	たはずがない
step-6	would	would	would		notice				に	気（き）づ	い	ただろう
	would	would	would	not	notice				に	気（き）づ	か	なかっただろう
	would	would	would	be able to	notice				に	気（き）づ	く	ことができただろう
	would	would	would	not be able to	notice				に	気（き）づ	く	ことはできなかっただろう
	would have	would have	would have		noticed				に	気（き）づ	い	たことだろう
	would not have	would not have	would not have		noticed				に	気（き）づ	か	なかったことだろう
	would have	would have	would have	been able to	notice				に	気（き）づ	く	ことができたことだろう
	would not have	would not have	would not have	been able to	notice				に	気（き）づ	く	ことはできなかったことだろう
	could have	could have	could have		noticed				に	気（き）づ	い	た可能性がある
	could not have	could not have	could not have		noticed				に	気（き）づ	い	た可能性はない
	might have	might have	might have		noticed				に	気（き）づ	い	たかもしれなかった
	might not have	might not have	might not have		noticed				に	気（き）づ	か	なかったかもしれなかった
	might have	might have	might have	been able to	notice				に	気（き）づ	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	notice				に	気（き）づ	く	ことはできなかったかもしれなかった
