step-1	sob	sobs	sob							すすり泣（な）	く
	had to	had to	had to		sob					すすり泣（な）	か	なければいけなかった
	did	did	did	not have to	sob					すすり泣（な）	か	なくてもよかった
	had to	had to	had to	be	sobbing					すすり泣（な）	い	ていなければいけなかった
	did	did	did	not have to be	sobbing					すすり泣（な）	い	ていなくてもよかった
	had to	had to	had to	be able to	sob					すすり泣（な）	く	ことができなければいけなかった
	did	did	did	not have to be able to	sob					すすり泣（な）	く	ことはできなくてもよかった
step-3	will	will	will		sob					すすり泣（な）	く	だろう
	will	will	will	not	sob					すすり泣（な）	か	ないだろう
	will	will	will	be	sobbing					すすり泣（な）	い	ているだろう
	will	will	will	not be	sobbing					すすり泣（な）	い	ていないだろう
	will	will	will	be able to	sob					すすり泣（な）	く	ことができるだろう
	will	will	will	not be able to	sob					すすり泣（な）	く	ことはできないだろう
	may	may	may		sob					すすり泣（な）	く	かもしれない
	may	may	may	not	sob					すすり泣（な）	か	ないかもしれない
	may	may	may	be	sobbing					すすり泣（な）	い	ているかもしれない
	may	may	may	not be	sobbing					すすり泣（な）	い	ていないかもしれない
	may	may	may	be able to	sob					すすり泣（な）	く	ことができるかもしれない
	may	may	may	not be able to	sob					すすり泣（な）	く	ことはできないかもしれない
	can	can	can		sob					すすり泣（な）	く	ことができる
	can	can	can	not	sob					すすり泣（な）	く	ことはできない
	should	should	should		sob					すすり泣（な）	く	ほうがいい
	should	should	should	not	sob					すすり泣（な）	か	ないほうがいい
	should	should	should	be	sobbing					すすり泣（な）	い	ているほうがいい
	should	should	should	not be	sobbing					すすり泣（な）	い	ていないほうがいい
	should	should	should	be able to	sob					すすり泣（な）	く	ことができるほうがいい
	should	should	should	not be able to	sob					すすり泣（な）	く	ことはできないほうがいい
	should	should	should		sob					すすり泣（な）	く	はずだ
	should	should	should	not	sob					すすり泣（な）	か	ないはずだ
	should	should	should	be	sobbing					すすり泣（な）	い	ているはずだ
	should	should	should	not be	sobbing					すすり泣（な）	い	ていないはずだ
	should	should	should	be able to	sob					すすり泣（な）	く	ことができるはずだ
	should	should	should	not be able to	sob					すすり泣（な）	く	ことはできるはずがない
	had better	had better	had better		sob					すすり泣（な）	く	べきだ
	had better	had better	had better	not	sob					すすり泣（な）	く	べきではない
	must	must	must		sob					すすり泣（な）	く	にちがいない
	must	must	must	not	sob					すすり泣（な）	い	てはいけない
	must	must	must	be	sobbing					すすり泣（な）	い	ているにちがいない
	must	must	must	not be	sobbing					すすり泣（な）	い	ていてはいけない
	must	must	must	be able to	sob					すすり泣（な）	く	ことができるにちがいない
	must	must	must	not be able to	sob					すすり泣（な）	く	ことはできてはいけない
	will	will	will	have to	sob					すすり泣（な）	か	なければいけないだろう
	will	will	will	not have to	sob					すすり泣（な）	か	なくてもいいだろう
	will	will	will	have to be	sobbing					すすり泣（な）	い	ていなければいけないだろう
	will	will	will	not have to be	sobbing					すすり泣（な）	い	ていなくてもいいだろう
	will	will	will	have to be able to	sob					すすり泣（な）	く	ことができなければいけないだろう
	will	will	will	not have to be able to	sob					すすり泣（な）	く	ことはできなくてもいいだろう
	may	may	may	have to	sob					すすり泣（な）	か	なければいけないかもしれない
	may	may	may	not have to	sob					すすり泣（な）	か	なくてもいいかもしれない
	may	may	may	have to be	sobbing					すすり泣（な）	い	ていなければいけないかもしれない
	may	may	may	not have to be	sobbing					すすり泣（な）	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	sob					すすり泣（な）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	sob					すすり泣（な）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		sobbed					すすり泣（な）	い	たことがある
	have	has	have	not	sobbed					すすり泣（な）	い	たことはない
	have	has	have	been	sobbing			（ずっと）		すすり泣（な）	い	ている
	have	has	have	not been	sobbing			（ずっと）		すすり泣（な）	い	ていない
	have	has	have		sobbed		already	すでに		すすり泣（な）	い	ている
	have	has	have	not	sobbed		yet	まだ		すすり泣（な）	い	ていない
	had	had	had		sobbed		before that	それ以前（いぜん）		すすり泣（な）	い	たことがあった
	had	had	had	not	sobbed		before that	それ以前（いぜん）		すすり泣（な）	い	たことはなかった
	had	had	had	been	sobbing		till then	それまでずっと		すすり泣（な）	い	ていた
	had	had	had	not been	sobbing		till then	それまでずっと		すすり泣（な）	い	ていなかった
	had	had	had		sobbed		already	すでに		すすり泣（な）	い	ていた
	had	had	had	not	sobbed		yet	まだ		すすり泣（な）	い	ていなかった
	have	has	have	been able to	sob			（ずっと）		すすり泣（な）	く	ことができている
	have	has	have	not been able to	sob		yet	まだ		すすり泣（な）	く	ことはできていない
	had	had	had	been able to	sob		till then	それまでずっと		すすり泣（な）	く	ことができていた
	had	had	had	not been able to	sob		till then	それまでずっと		すすり泣（な）	く	ことはできていなかった
step-5	may have	may have	may have		sobbed					すすり泣（な）	い	たかもしれない
	may not have	may not have	may not have		sobbed					すすり泣（な）	か	なかったかもしれない
	may have	may have	may have	been able to	sob					すすり泣（な）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	sob					すすり泣（な）	く	ことはできなかったかもしれない
	must have	must have	must have		sobbed					すすり泣（な）	い	たにちがいない
	must not have	must not have	must not have		sobbed					すすり泣（な）	か	なかったにちがいない
	must have	must have	must have	been able to	sob					すすり泣（な）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	sob					すすり泣（な）	く	ことはできなかったにちがいない
	should have	should have	should have		sobbed					すすり泣（な）	く	ほうがよかった
	should not have	should not have	should not have		sobbed					すすり泣（な）	か	ないほうがよかった
	should have	should have	should have	been able to	sob					すすり泣（な）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	sob					すすり泣（な）	く	ことはできないほうがよかった
	can not have	can not have	can not have		sobbed					すすり泣（な）	い	たはずがない
step-6	would	would	would		sob					すすり泣（な）	い	ただろう
	would	would	would	not	sob					すすり泣（な）	か	なかっただろう
	would	would	would	be able to	sob					すすり泣（な）	く	ことができただろう
	would	would	would	not be able to	sob					すすり泣（な）	く	ことはできなかっただろう
	would have	would have	would have		sobbed					すすり泣（な）	い	たことだろう
	would not have	would not have	would not have		sobbed					すすり泣（な）	か	なかったことだろう
	would have	would have	would have	been able to	sob					すすり泣（な）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	sob					すすり泣（な）	く	ことはできなかったことだろう
	could have	could have	could have		sobbed					すすり泣（な）	い	た可能性がある
	could not have	could not have	could not have		sobbed					すすり泣（な）	い	た可能性はない
	might have	might have	might have		sobbed					すすり泣（な）	い	たかもしれなかった
	might not have	might not have	might not have		sobbed					すすり泣（な）	か	なかったかもしれなかった
	might have	might have	might have	been able to	sob					すすり泣（な）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	sob					すすり泣（な）	く	ことはできなかったかもしれなかった
