step-1	pull	pulls	pull						を	引（ひ）	く
	will	will	will	be	pulling				を	引（ひ）	い	ているだろう
	will	will	will	not be	pulling				を	引（ひ）	い	ていないだろう
	will	will	will	be able to	pull				を	引（ひ）	く	ことができるだろう
	will	will	will	not be able to	pull				を	引（ひ）	く	ことはできないだろう
	may	may	may		pull				を	引（ひ）	く	かもしれない
	may	may	may	not	pull				を	引（ひ）	か	ないかもしれない
	may	may	may	be	pulling				を	引（ひ）	い	ているかもしれない
	may	may	may	not be	pulling				を	引（ひ）	い	ていないかもしれない
	may	may	may	be able to	pull				を	引（ひ）	く	ことができるかもしれない
	may	may	may	not be able to	pull				を	引（ひ）	く	ことはできないかもしれない
	can	can	can		pull				を	引（ひ）	く	ことができる
	can	can	can	not	pull				を	引（ひ）	く	ことはできない
	should	should	should		pull				を	引（ひ）	く	ほうがいい
	should	should	should	not	pull				を	引（ひ）	か	ないほうがいい
	should	should	should	be	pulling				を	引（ひ）	い	ているほうがいい
	should	should	should	not be	pulling				を	引（ひ）	い	ていないほうがいい
	should	should	should	be able to	pull				を	引（ひ）	く	ことができるほうがいい
	should	should	should	not be able to	pull				を	引（ひ）	く	ことはできないほうがいい
	should	should	should		pull				を	引（ひ）	く	はずだ
	should	should	should	not	pull				を	引（ひ）	か	ないはずだ
	should	should	should	be	pulling				を	引（ひ）	い	ているはずだ
	should	should	should	not be	pulling				を	引（ひ）	い	ていないはずだ
	should	should	should	be able to	pull				を	引（ひ）	く	ことができるはずだ
	should	should	should	not be able to	pull				を	引（ひ）	く	ことはできるはずがない
	had better	had better	had better		pull				を	引（ひ）	く	べきだ
	had better	had better	had better	not	pull				を	引（ひ）	く	べきではない
	must	must	must		pull				を	引（ひ）	く	にちがいない
	must	must	must	not	pull				を	引（ひ）	い	てはいけない
	must	must	must	be	pulling				を	引（ひ）	い	ているにちがいない
	must	must	must	not be	pulling				を	引（ひ）	い	ていてはいけない
	must	must	must	be able to	pull				を	引（ひ）	く	ことができるにちがいない
	must	must	must	not be able to	pull				を	引（ひ）	く	ことはできてはいけない
	will	will	will	have to	pull				を	引（ひ）	か	なければいけないだろう
	will	will	will	not have to	pull				を	引（ひ）	か	なくてもいいだろう
	will	will	will	have to be	pulling				を	引（ひ）	い	ていなければいけないだろう
	will	will	will	not have to be	pulling				を	引（ひ）	い	ていなくてもいいだろう
	will	will	will	have to be able to	pull				を	引（ひ）	く	ことができなければいけないだろう
	will	will	will	not have to be able to	pull				を	引（ひ）	く	ことはできなくてもいいだろう
	may	may	may	have to	pull				を	引（ひ）	か	なければいけないかもしれない
	may	may	may	not have to	pull				を	引（ひ）	か	なくてもいいかもしれない
	may	may	may	have to be	pulling				を	引（ひ）	い	ていなければいけないかもしれない
	may	may	may	not have to be	pulling				を	引（ひ）	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	pull				を	引（ひ）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	pull				を	引（ひ）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		pulled				を	引（ひ）	い	たことがある
	have	has	have	not	pulled				を	引（ひ）	い	たことはない
	have	has	have	been	pulling			（ずっと）	を	引（ひ）	い	ている
	have	has	have	not been	pulling			（ずっと）	を	引（ひ）	い	ていない
	have	has	have		pulled		already	すでに	を	引（ひ）	い	ている
	have	has	have	not	pulled		yet	まだ	を	引（ひ）	い	ていない
	had	had	had		pulled		before that	それ以前（いぜん）	を	引（ひ）	い	たことがあった
	had	had	had	not	pulled		before that	それ以前（いぜん）	を	引（ひ）	い	たことはなかった
	had	had	had	been	pulling		till then	それまでずっと	を	引（ひ）	い	ていた
	had	had	had	not been	pulling		till then	それまでずっと	を	引（ひ）	い	ていなかった
	had	had	had		pulled		already	すでに	を	引（ひ）	い	ていた
	had	had	had	not	pulled		yet	まだ	を	引（ひ）	い	ていなかった
	have	has	have	been able to	pull			（ずっと）	を	引（ひ）	く	ことができている
	have	has	have	not been able to	pull		yet	まだ	を	引（ひ）	く	ことはできていない
	had	had	had	been able to	pull		till then	それまでずっと	を	引（ひ）	く	ことができていた
	had	had	had	not been able to	pull		till then	それまでずっと	を	引（ひ）	く	ことはできていなかった
step-5	may have	may have	may have		pulled				を	引（ひ）	い	たかもしれない
	may not have	may not have	may not have		pulled				を	引（ひ）	か	なかったかもしれない
	may have	may have	may have	been able to	pull				を	引（ひ）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	pull				を	引（ひ）	く	ことはできなかったかもしれない
	must have	must have	must have		pulled				を	引（ひ）	い	たにちがいない
	must not have	must not have	must not have		pulled				を	引（ひ）	か	なかったにちがいない
	must have	must have	must have	been able to	pull				を	引（ひ）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	pull				を	引（ひ）	く	ことはできなかったにちがいない
	should have	should have	should have		pulled				を	引（ひ）	く	ほうがよかった
	should not have	should not have	should not have		pulled				を	引（ひ）	か	ないほうがよかった
	should have	should have	should have	been able to	pull				を	引（ひ）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	pull				を	引（ひ）	く	ことはできないほうがよかった
	can not have	can not have	can not have		pulled				を	引（ひ）	い	たはずがない
step-6	would	would	would		pull				を	引（ひ）	い	ただろう
	would	would	would	not	pull				を	引（ひ）	か	なかっただろう
	would	would	would	be able to	pull				を	引（ひ）	く	ことができただろう
	would	would	would	not be able to	pull				を	引（ひ）	く	ことはできなかっただろう
	would have	would have	would have		pulled				を	引（ひ）	い	たことだろう
	would not have	would not have	would not have		pulled				を	引（ひ）	か	なかったことだろう
	would have	would have	would have	been able to	pull				を	引（ひ）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	pull				を	引（ひ）	く	ことはできなかったことだろう
	could have	could have	could have		pulled				を	引（ひ）	い	た可能性がある
	could not have	could not have	could not have		pulled				を	引（ひ）	い	た可能性はない
	might have	might have	might have		pulled				を	引（ひ）	い	たかもしれなかった
	might not have	might not have	might not have		pulled				を	引（ひ）	か	なかったかもしれなかった
	might have	might have	might have	been able to	pull				を	引（ひ）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	pull				を	引（ひ）	く	ことはできなかったかもしれなかった
