step-1	laugh	laughs	laugh			at			を	笑（わら）	う
	had	had	had	not been	laughing	at	till then	それまでずっと	を	笑（わら）	っ	ていなかった
	had	had	had		laughed	at	already	すでに	を	笑（わら）	っ	ていた
	had	had	had	not	laughed	at	yet	まだ	を	笑（わら）	っ	ていなかった
	have	has	have	been able to	laugh	at		（ずっと）	を	笑（わら）	う	ことができている
	have	has	have	not been able to	laugh	at	yet	まだ	を	笑（わら）	う	ことはできていない
	had	had	had	been able to	laugh	at	till then	それまでずっと	を	笑（わら）	う	ことができていた
	had	had	had	not been able to	laugh	at	till then	それまでずっと	を	笑（わら）	う	ことはできていなかった
step-5	may have	may have	may have		laughed	at			を	笑（わら）	っ	たかもしれない
	may not have	may not have	may not have		laughed	at			を	笑（わら）	わ	なかったかもしれない
	may have	may have	may have	been able to	laugh	at			を	笑（わら）	う	ことができたかもしれない
	may not have	may not have	may not have	been able to	laugh	at			を	笑（わら）	う	ことはできなかったかもしれない
	must have	must have	must have		laughed	at			を	笑（わら）	っ	たにちがいない
	must not have	must not have	must not have		laughed	at			を	笑（わら）	わ	なかったにちがいない
	must have	must have	must have	been able to	laugh	at			を	笑（わら）	う	ことができたにちがいない
	must not have	must not have	must not have	been able to	laugh	at			を	笑（わら）	う	ことはできなかったにちがいない
	should have	should have	should have		laughed	at			を	笑（わら）	う	ほうがよかった
	should not have	should not have	should not have		laughed	at			を	笑（わら）	わ	ないほうがよかった
	should have	should have	should have	been able to	laugh	at			を	笑（わら）	う	ことができたはずだ
	should not have	should not have	should not have	been able to	laugh	at			を	笑（わら）	う	ことはできなかったはずだ
	can not have	can not have	can not have		laughed	at			を	笑（わら）	っ	たはずがない
step-6	would	would	would		laugh	at			を	笑（わら）	っ	ただろう
	would	would	would	not	laugh	at			を	笑（わら）	わ	なかっただろう
	would	would	would	be able to	laugh	at			を	笑（わら）	う	ことができただろう
	would	would	would	not be able to	laugh	at			を	笑（わら）	う	ことはできなかっただろう
	would have	would have	would have		laughed	at			を	笑（わら）	っ	たことだろう
	would not have	would not have	would not have		laughed	at			を	笑（わら）	わ	なかったことだろう
	would have	would have	would have	been able to	laugh	at			を	笑（わら）	う	ことができたことだろう
	would not have	would not have	would not have	been able to	laugh	at			を	笑（わら）	う	ことはできなかったことだろう
	could have	could have	could have		laughed	at			を	笑（わら）	っ	た可能性がある
	could not have	could not have	could not have		laughed	at			を	笑（わら）	っ	た可能性はない
	might have	might have	might have		laughed	at			を	笑（わら）	っ	たかもしれなかった
	might not have	might not have	might not have		laughed	at			を	笑（わら）	わ	なかったかもしれなかった
	might have	might have	might have	been able to	laugh	at			を	笑（わら）	う	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	laugh	at			を	笑（わら）	う	ことはできなかったかもしれなかった
