step-1	get	gets	get		close	to			に	近（ちか）づ	く
	may	may	may	not be	getting close	to			に	近（ちか）づ	い	ていないかもしれない
	may	may	may	be able to	get close	to			に	近（ちか）づ	く	ことができるかもしれない
	may	may	may	not be able to	get close	to			に	近（ちか）づ	く	ことはできないかもしれない
	can	can	can		get close	to			に	近（ちか）づ	く	ことができる
	can	can	can	not	get close	to			に	近（ちか）づ	く	ことはできない
	should	should	should		get close	to			に	近（ちか）づ	く	ほうがいい
	should	should	should	not	get close	to			に	近（ちか）づ	か	ないほうがいい
	should	should	should	be	getting close	to			に	近（ちか）づ	い	ているほうがいい
	should	should	should	not be	getting close	to			に	近（ちか）づ	い	ていないほうがいい
	should	should	should	be able to	get close	to			に	近（ちか）づ	く	ことができるほうがいい
	should	should	should	not be able to	get close	to			に	近（ちか）づ	く	ことはできないほうがいい
	should	should	should		get close	to			に	近（ちか）づ	く	はずだ
	should	should	should	not	get close	to			に	近（ちか）づ	か	ないはずだ
	should	should	should	be	getting close	to			に	近（ちか）づ	い	ているはずだ
	should	should	should	not be	getting close	to			に	近（ちか）づ	い	ていないはずだ
	should	should	should	be able to	get close	to			に	近（ちか）づ	く	ことができるはずだ
	should	should	should	not be able to	get close	to			に	近（ちか）づ	く	ことはできるはずがない
	had better	had better	had better		get close	to			に	近（ちか）づ	く	べきだ
	had better	had better	had better	not	get close	to			に	近（ちか）づ	く	べきではない
	must	must	must		get close	to			に	近（ちか）づ	く	にちがいない
	must	must	must	not	get close	to			に	近（ちか）づ	い	てはいけない
	must	must	must	be	getting close	to			に	近（ちか）づ	い	ているにちがいない
	must	must	must	not be	getting close	to			に	近（ちか）づ	い	ていてはいけない
	must	must	must	be able to	get close	to			に	近（ちか）づ	く	ことができるにちがいない
	must	must	must	not be able to	get close	to			に	近（ちか）づ	く	ことはできてはいけない
	will	will	will	have to	get close	to			に	近（ちか）づ	か	なければいけないだろう
	will	will	will	not have to	get close	to			に	近（ちか）づ	か	なくてもいいだろう
	will	will	will	have to be	getting close	to			に	近（ちか）づ	い	ていなければいけないだろう
	will	will	will	not have to be	getting close	to			に	近（ちか）づ	い	ていなくてもいいだろう
	will	will	will	have to be able to	get close	to			に	近（ちか）づ	く	ことができなければいけないだろう
	will	will	will	not have to be able to	get close	to			に	近（ちか）づ	く	ことはできなくてもいいだろう
	may	may	may	have to	get close	to			に	近（ちか）づ	か	なければいけないかもしれない
	may	may	may	not have to	get close	to			に	近（ちか）づ	か	なくてもいいかもしれない
	may	may	may	have to be	getting close	to			に	近（ちか）づ	い	ていなければいけないかもしれない
	may	may	may	not have to be	getting close	to			に	近（ちか）づ	い	ていなくてもいいかもしれない
	may	may	may	have to be able to	get close	to			に	近（ちか）づ	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	get close	to			に	近（ちか）づ	く	ことはできなくてもいいかもしれない
step-4	have	has	have		gotten close	to			に	近（ちか）づ	い	たことがある
	have	has	have	not	gotten close	to			に	近（ちか）づ	い	たことはない
	have	has	have	been	getting close	to		（ずっと）	に	近（ちか）づ	い	ている
	have	has	have	not been	getting close	to		（ずっと）	に	近（ちか）づ	い	ていない
	have	has	have		gotten close	to	already	すでに	に	近（ちか）づ	い	ている
	have	has	have	not	gotten close	to	yet	まだ	に	近（ちか）づ	い	ていない
	had	had	had		gotten close	to	before that	それ以前（いぜん）	に	近（ちか）づ	い	たことがあった
	had	had	had	not	gotten close	to	before that	それ以前（いぜん）	に	近（ちか）づ	い	たことはなかった
	had	had	had	been	getting close	to	till then	それまでずっと	に	近（ちか）づ	い	ていた
	had	had	had	not been	getting close	to	till then	それまでずっと	に	近（ちか）づ	い	ていなかった
	had	had	had		gotten close	to	already	すでに	に	近（ちか）づ	い	ていた
	had	had	had	not	gotten close	to	yet	まだ	に	近（ちか）づ	い	ていなかった
	have	has	have	been able to	get close	to		（ずっと）	に	近（ちか）づ	く	ことができている
	have	has	have	not been able to	get close	to	yet	まだ	に	近（ちか）づ	く	ことはできていない
	had	had	had	been able to	get close	to	till then	それまでずっと	に	近（ちか）づ	く	ことができていた
	had	had	had	not been able to	get close	to	till then	それまでずっと	に	近（ちか）づ	く	ことはできていなかった
step-5	may have	may have	may have		gotten close	to			に	近（ちか）づ	い	たかもしれない
	may not have	may not have	may not have		gotten close	to			に	近（ちか）づ	か	なかったかもしれない
	may have	may have	may have	been able to	get close	to			に	近（ちか）づ	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	get close	to			に	近（ちか）づ	く	ことはできなかったかもしれない
	must have	must have	must have		gotten close	to			に	近（ちか）づ	い	たにちがいない
	must not have	must not have	must not have		gotten close	to			に	近（ちか）づ	か	なかったにちがいない
	must have	must have	must have	been able to	get close	to			に	近（ちか）づ	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	get close	to			に	近（ちか）づ	く	ことはできなかったにちがいない
	should have	should have	should have		gotten close	to			に	近（ちか）づ	く	ほうがよかった
	should not have	should not have	should not have		gotten close	to			に	近（ちか）づ	か	ないほうがよかった
	should have	should have	should have	been able to	get close	to			に	近（ちか）づ	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	get close	to			に	近（ちか）づ	く	ことはできないほうがよかった
	can not have	can not have	can not have		gotten close	to			に	近（ちか）づ	い	たはずがない
step-6	would	would	would		get close	to			に	近（ちか）づ	い	ただろう
	would	would	would	not	get close	to			に	近（ちか）づ	か	なかっただろう
	would	would	would	be able to	get close	to			に	近（ちか）づ	く	ことができただろう
	would	would	would	not be able to	get close	to			に	近（ちか）づ	く	ことはできなかっただろう
	would have	would have	would have		gotten close	to			に	近（ちか）づ	い	たことだろう
	would not have	would not have	would not have		gotten close	to			に	近（ちか）づ	か	なかったことだろう
	would have	would have	would have	been able to	get close	to			に	近（ちか）づ	く	ことができたことだろう
	would not have	would not have	would not have	been able to	get close	to			に	近（ちか）づ	く	ことはできなかったことだろう
	could have	could have	could have		gotten close	to			に	近（ちか）づ	い	た可能性がある
	could not have	could not have	could not have		gotten close	to			に	近（ちか）づ	い	た可能性はない
	might have	might have	might have		gotten close	to			に	近（ちか）づ	い	たかもしれなかった
	might not have	might not have	might not have		gotten close	to			に	近（ちか）づ	か	なかったかもしれなかった
	might have	might have	might have	been able to	get close	to			に	近（ちか）づ	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	get close	to			に	近（ちか）づ	く	ことはできなかったかもしれなかった
