step-1	settle	settles	settle		down					落（お）ち着（つ）	く
	may	may	may	have to be able to	settle down					落（お）ち着（つ）	く	ことができなければいけないかもしれない
	may	may	may	not have to be able to	settle down					落（お）ち着（つ）	く	ことはできなくてもいいかもしれない
step-4	have	has	have		settled down					落（お）ち着（つ）	い	たことがある
	have	has	have	not	settled down					落（お）ち着（つ）	い	たことはない
	have	has	have	been	settling down			（ずっと）		落（お）ち着（つ）	い	ている
	have	has	have	not been	settling down			（ずっと）		落（お）ち着（つ）	い	ていない
	have	has	have		settled down		already	すでに		落（お）ち着（つ）	い	ている
	have	has	have	not	settled down		yet	まだ		落（お）ち着（つ）	い	ていない
	had	had	had		settled down		before that	それ以前（いぜん）		落（お）ち着（つ）	い	たことがあった
	had	had	had	not	settled down		before that	それ以前（いぜん）		落（お）ち着（つ）	い	たことはなかった
	had	had	had	been	settling down		till then	それまでずっと		落（お）ち着（つ）	い	ていた
	had	had	had	not been	settling down		till then	それまでずっと		落（お）ち着（つ）	い	ていなかった
	had	had	had		settled down		already	すでに		落（お）ち着（つ）	い	ていた
	had	had	had	not	settled down		yet	まだ		落（お）ち着（つ）	い	ていなかった
	have	has	have	been able to	settle down			（ずっと）		落（お）ち着（つ）	く	ことができている
	have	has	have	not been able to	settle down		yet	まだ		落（お）ち着（つ）	く	ことはできていない
	had	had	had	been able to	settle down		till then	それまでずっと		落（お）ち着（つ）	く	ことができていた
	had	had	had	not been able to	settle down		till then	それまでずっと		落（お）ち着（つ）	く	ことはできていなかった
step-5	may have	may have	may have		settled down					落（お）ち着（つ）	い	たかもしれない
	may not have	may not have	may not have		settled down					落（お）ち着（つ）	か	なかったかもしれない
	may have	may have	may have	been able to	settle down					落（お）ち着（つ）	く	ことができたかもしれない
	may not have	may not have	may not have	been able to	settle down					落（お）ち着（つ）	く	ことはできなかったかもしれない
	must have	must have	must have		settled down					落（お）ち着（つ）	い	たにちがいない
	must not have	must not have	must not have		settled down					落（お）ち着（つ）	か	なかったにちがいない
	must have	must have	must have	been able to	settle down					落（お）ち着（つ）	く	ことができたにちがいない
	must not have	must not have	must not have	been able to	settle down					落（お）ち着（つ）	く	ことはできなかったにちがいない
	should have	should have	should have		settled down					落（お）ち着（つ）	く	ほうがよかった
	should not have	should not have	should not have		settled down					落（お）ち着（つ）	か	ないほうがよかった
	should have	should have	should have	been able to	settle down					落（お）ち着（つ）	く	ことができるほうがよかった
	should not have	should not have	should not have	been able to	settle down					落（お）ち着（つ）	く	ことはできないほうがよかった
	can not have	can not have	can not have		settled down					落（お）ち着（つ）	い	たはずがない
step-6	would	would	would		settle down					落（お）ち着（つ）	い	ただろう
	would	would	would	not	settle down					落（お）ち着（つ）	か	なかっただろう
	would	would	would	be able to	settle down					落（お）ち着（つ）	く	ことができただろう
	would	would	would	not be able to	settle down					落（お）ち着（つ）	く	ことはできなかっただろう
	would have	would have	would have		settled down					落（お）ち着（つ）	い	たことだろう
	would not have	would not have	would not have		settled down					落（お）ち着（つ）	か	なかったことだろう
	would have	would have	would have	been able to	settle down					落（お）ち着（つ）	く	ことができたことだろう
	would not have	would not have	would not have	been able to	settle down					落（お）ち着（つ）	く	ことはできなかったことだろう
	could have	could have	could have		settled down					落（お）ち着（つ）	い	た可能性がある
	could not have	could not have	could not have		settled down					落（お）ち着（つ）	い	た可能性はない
	might have	might have	might have		settled down					落（お）ち着（つ）	い	たかもしれなかった
	might not have	might not have	might not have		settled down					落（お）ち着（つ）	か	なかったかもしれなかった
	might have	might have	might have	been able to	settle down					落（お）ち着（つ）	く	ことができたかもしれなかった
	might not have	might not have	might not have	been able to	settle down					落（お）ち着（つ）	く	ことはできなかったかもしれなかった
